#line,#station,#distance_in_KM_from_Fort
Main Line,Fort,0
Main Line,Maradana,1.9
Main Line,Dematagoda,3.668
Main Line,Kelaniya,6.873
Main Line,Wanawasala,8.676
Main Line,Hunupitiya,10.026
Main Line,Enderamulla,11.699
Main Line,Horape,14.043
Main Line,Ragama,15.546
Main Line,Walpola,18.116
Main Line,Batuwatte,19.083
Main Line,Bulugahagoda,20.731
Main Line,Ganemulla,22.522
Main Line,Yagoda,24.324
Main Line,Gampaha,27.538
Main Line,Daraluwa,29.921
Main Line,Bemmulla,31.905
Main Line,Magelegoda,34.164
Main Line,Heendeniya,35.67
Main Line,Veyangoda,37.478
Main Line,Wandurawa,39.331
Main Line,Keenawala,41.627
Main Line,Pallewala,43.913
Main Line,Ganegoda,46.213
Main Line,Wijayarajadahana,49.1
Main Line,Mihirigama,50.27
Main Line,Wilwatte,52.108
Main Line,Botale,54.433
Main Line,Abeypussa,56.224
Main Line,Yattalgoda,59.851
Main Line,Buthgamuwa,61.873
Main Line,Alawwa,65.672
Main Line,Wlakubura,69.784
Main Line,Poplgahawela,73.827
Main Line,Panaleeya,77.872
Main Line,Tismalpola,78.954
Main Line,Yatagama,82.555
Main Line,Rambukkana,84.437
Main Line,Kadigamuwa,90.239
Main Line,Gangoda,93.805
Main Line,Ihalakotte,96.081
Main Line,Balana,101.069
Main Line,Kadugannawa,105.537
Main Line,Pilimatalawa,109.446
Main Line,Peradeniya,114.851
Main Line,Koshinna,117.36
Main Line,Gelioya,119.54
Main Line,Gampola,126.931
Main Line,Tembligala,130.873
Main Line,Ulapone,134.306
Main Line,Nawalapitiya,141.522
Main Line,Inguruoya,147.307
Main Line,Galaboda,152.857
Main Line,Watawala,162.1
Main Line,Ihalawatawala,165.15
Main Line,Rosella,167.789
Main Line,Hatton,174.905
Main Line,Kotagala,179.969
Main Line,Talawakele,187.857
Main Line,watagoda,194.296
Main Line,Greatwestern,199.306
Main Line,Radella,202.709
Main Line,Nanuoya,207.056
Main Line,Perakumpura,212.206
Main Line,Ambewela,221.495
Main Line,Pattipola,224.931
Main Line,Ohiya,231.641
Main Line,Idalgasinna,240.563
Main Line,Haputale,247.968
Main Line,Deyatalawa,253.079
Main Line,Bandarawela,259.148
Main Line,Kinigama,261.447
Main Line,Heeloya,265.372
Main Line,Kitalelle,269.73
Main Line,Elle,271.592
Main Line,Demodara,277.717
Main Line,Uduwara,283.222
Main Line,Haliela,286.596
Main Line,Badulla,292.393
Matale Line,Sarasaviuyana,115.686
Matale Line,Kandy,120.737
Matale Line,Mahaiyawa,122.402
Matale Line,Katugastota,126.285
Matale Line,Udatalawinna,128.784
Matale Line,Wattegama,132.889
Matale Line,Pathanpha,137.428
Matale Line,Udaththawala,141.774
Matale Line,Ukuwela,143.018
Matale Line,Matale,148.609
Puttlam Line,Peralanda,17.077
Puttlam Line,Kandana,18.829
Puttlam Line,Kapuwatte,20.556
Puttlam Line,Ja-Ela,22.153
Puttlam Line,Tudella,23.934
Puttlam Line,Kudahakapola,25.18
Puttlam Line,Alawatupitiya,26.503
Puttlam Line,Seeduwa,28.056
Puttlam Line,Liyanagemulla,30.124
Puttlam Line,Katunayaka Airport,33.439
Puttlam Line,Katunayake,32.447
Puttlam Line,Trade Zoone,32.33
Puttlam Line,Kurana,35.31
Puttlam Line,Negombo,38.85
Puttlam Line,kattuwa,42.138
Puttlam Line,Kochchikade,45.048
Puttlam Line,Waikkala,46.645
Puttlam Line,Bolawatte,48.879
Puttlam Line,Borelessa,51.377
Puttlam Line,Lunuwila,54.354
Puttlam Line,Tummodara,59.321
Puttlam Line,Nattandiya,62.196
Puttlam Line,Walahapitiya,65.157
Puttlam Line,Kudawewa,67.781
Puttlam Line,Nelumpokuna,70.691
Puttlam Line,Madampe,71.996
Puttlam Line,Kakkapalliya,76.422
Puttlam Line,Sawarana,79.658
Puttlam Line,Chilaw,82.462
Puttlam Line,Manuwangama,88.84
Puttlam Line,Bangadeniya,91.693
Puttlam Line,Arachchikattuwa,96.18
Puttlam Line,Anawilundawa,99.7
Puttlam Line,Battaluoya,101.926
Puttlam Line,Pulachchikulam,105.318
Puttlam Line,Mundal,109.771
Puttlam Line,Mangalaeliya,116.727
Puttlam Line,Madurankuliya,121.671
Puttlam Line,Erukkalam pendu,128.9
Puttlam Line,Palavi,130.465
Puttlam Line,Thilladiya,132.264
Puttlam Line,Puttalam,135.119
Puttlam Line,Noor Nagar,139.095
Puttlam Line,Karadipuwar,147.803
Puttlam Line,Periyanagavillu,158.596
Nothern Line,Girambe,79.294
Nothern Line,Talawattegedara,81.115
Nothern Line,Potuhera,86.273
Nothern Line,Nailiya,91.674
Nothern Line,Kurunegala,95.272
Nothern Line,Muththettugala,97.753
Nothern Line,Wellawa,105.004
Nothern Line,Ganewatte,116.72
Nothern Line,Yahapauwa,123.461
Nothern Line,Nagollagama,129.049
Nothern Line,Timbiriyagedara,132.928
Nothern Line,Maho,138.585
Nothern Line,Randenigama,141.92
Nothern Line,Abanpola,150.258
Nothern Line,Galgamuwa,160.243
Nothern Line,Senarathgama,170.084
Nothern Line,Thambuttegama,178.96
Nothern Line,Talawa,189.938
Nothern Line,Srawasthipura,198.4
Nothern Line,Anuradhapura Town,202.061
Nothern Line,Anuradhapura,204.944
Nothern Line,Mihintale Junction,206.444
Nothern Line,Saliyapura,210.671
Nothern Line,Parasangahawewa,217.734
Nothern Line,Medagama,221.196
Nothern Line,Medawachchiya,230.916
Nothern Line,Poonewa,237.652
Nothern Line,Erittaperiyakulam,249.038
Nothern Line,Vavuniya,254.355
Nothern Line,Mihintale,219.944
Coast Line,Fort,0
Coast Line,Secretartat Halt,0.666
Coast Line,Kompnnavidiya,1.72
Coast Line,Kollupitiya,3.108
Coast Line,Bambalapitiya,5.125
Coast Line,wellawatte,7.245
Coast Line,Dehiwala,9.957
Coast Line,Mount Laviniya,12.211
Coast Line,Rathmalana,14.01
Coast Line,Angulana,15.939
Coast Line,Lunawa,17.366
Coast Line,Moratuwa,18.949
Coast Line,Koralawella,20.731
Coast Line,Egodauyana,22.563
Coast Line,Panadura,26.249
Coast Line,Pinwatte,29.467
Coast Line,Wadduwa,32.461
Coast Line,Train Halt 01,36.052
Coast Line,Kalutara North,39.868
Coast Line,Kaluthara South,41.857
Coast Line,Katukurunda,44.667
Coast Line,Payagala North,48.04
Coast Line,Payagala south,49.256
Coast Line,Maggona,51.151
Coast Line,Beruwala,54.326
Coast Line,Hettimulla,56.507
Coast Line,Aluthgama,59.661
Coast Line,Bentota,60.958
Coast Line,Induruwa,64.939
Coast Line,Mha Induruwa,67.629
Coast Line,kosgoda,71.067
Coast Line,Piyagama,72.516
Coast Line,Ahungalle,73.984
Coast Line,Patagamgoda,76.1
Coast Line,Balapitiya,78.205
Coast Line,Andadola,79.73
Coast Line,Kandegoda,81.456
Coast Line,Ambalangoda,83.127
Coast Line,Madampagama,85.859
Coast Line,Akurala,87.82
Coast Line,Kahawa,89.292
Coast Line,Telwatte,91.967
Coast Line,Seenigama,92.72
Coast Line,Hikkaduwa,95.128
Coast Line,Thiranagama,97.876
Coast Line,Kumarakanda,99.596
Coast Line,Dodanduwa,101.525
Coast Line,Rathgama,102.55
Coast Line,Boossa,105.738
Coast Line,Ginthota,108.301
Coast Line,Piyadigama,109.975
Coast Line,Richmond Hill,111.407
Coast Line,Galle,113.88
Coast Line,Katugoda,118.269
Coast Line,Unawatuna,119.519
Coast Line,Taple,124.339
Coast Line,Habaraduwa,127.383
Coast Line,Koggala,129.1
Coast Line,Kathaluwa,131.285
Coast Line,Ahangama,134.159
Coast Line,Midigama,137.657
Coast Line,Kumbalgama,139.196
Coast Line,weligama,142.824
Coast Line,Polwathumodara,146.248
Coast Line,Mirissa,147.556
Coast Line,Kamburugamuwa,151.353
Coast Line,Walgama,154.1
Coast Line,Matara,156.813
Coast Line,Piliduwa,158.1
